_id,Sl No,District,Road Crashes 2020,Deaths 2020,Road Crashes 2021,Deaths 2021,Road Crashes 2022,Deaths 2022,Road Crashes 2023,Deaths 2023
1,1,Bagalkot,781,389,802,343,900,379,862,402
2,2,Ballari,1005,361,1150,437,528,226,575,252
3,3,Belagavi City,420,114,424,109,565,167,556,137
4,4,Belagavi Dist,1600,639,1697,684,1935,746,2086,800
5,5,Bengaluru City,3233,646,3213,654,3822,772,4974,915
6,6,Bengaluru Dist,1850,567,1743,519,2129,613,2451,694
7,7,Bidar,1069,233,1086,270,1136,332,1097,335
8,8,Chamarajanagar,529,156,495,164,604,197,675,179
9,9,Chickballapura,585,234,634,273,768,281,940,346
10,10,Chikkamagaluru,765,185,818,186,985,234,1010,281
11,11,Chitradurga,1484,383,1485,398,1722,435,1750,472
12,12,Dakshina Kannada,654,109,751,146,943,156,897,134
13,13,Davanagere,929,227,977,258,1053,330,1081,304
14,14,Dharwad,422,178,436,203,472,250,515,255
15,15,Gadag,336,164,291,150,329,172,344,170
16,16,Hassan,1772,372,1800,432,1975,477,2138,502
17,17,Haveri,660,216,753,230,835,284,796,281
18,18,Hubballi Dharwad City,342,91,428,114,518,111,544,118
19,19,K.G.F,130,31,108,41,154,49,203,71
20,20,Kalaburagi,839,284,762,283,852,327,919,360
21,21,Kalaburagi City,455,121,454,127,451,128,494,129
22,22,Karnataka Railways,4,3,1,0,5,1,4,1
23,23,Kodagu,387,66,380,66,448,68,544,88
24,24,Kolar,551,198,549,170,741,257,766,255
25,25,Koppal,527,224,600,232,653,262,648,277
26,26,Mandya,1739,385,1704,406,1978,474,2160,515
27,27,Mangaluru City,692,116,797,130,927,159,1008,166
28,28,Mysuru City,633,122,651,121,776,171,953,168
29,29,Mysuru Dist,1365,382,1311,361,1599,482,1736,472
30,30,Raichur,635,294,705,335,658,330,630,279
31,31,Ramanagara,1251,304,1077,274,1410,376,1627,421
32,32,Shivamogga,1270,291,1275,310,1395,362,1483,368
33,33,Tumakuru,2127,681,2020,635,2257,772,2601,783
34,34,Udupi,990,193,1010,196,1232,245,1272,253
35,35,Uttara Kannada,891,217,950,205,1053,252,1029,248
36,36,Vijayapur,851,431,896,418,918,407,1025,274
37,37,Vijayanagara,,,,,616,237,605,446
38,38,Yadgir,405,153,414,158,420,181,442,170
39,,,,,,,,,,
